alpha_deg,variant,label,T1_true_s,T1_fit_s,mape_vs_true_pct,rel_vs_truth_pct
30.0,cached,T1_6,0.3841,0.33419538730765835,12.99260939660027,0.0
30.0,cached,T1_7,0.2723,0.23990510891743155,11.896764995434607,0.0
30.0,cached,T1_8,0.1945,0.166412532327447,14.440857415194353,0.0
30.0,cached,T1_9,0.1378,0.11810299302121237,14.293909273430797,0.0
30.0,cached,T1_10,0.0947,0.07826196594534501,17.358008505443497,0.0
30.0,cached,T1_11,0.067,0.05814097508598348,13.222425244800778,0.0
30.0,cached,T1_12,0.04814,0.04221682101655617,12.30406934658046,0.0
30.0,cached,T1_13,0.03435,0.028296944790182747,17.621703667590253,0.0
30.0,cached,T1_14,0.02416,0.018119110946376086,25.00367985771488,0.0
17.0,koma_water5,T1_1,1.879,1.83510918156835,2.335860480662586,1.149600273716479
17.0,koma_water5,T1_2,1.432,1.3789789502700562,3.7025872716441137,0.0
17.0,koma_water5,T1_3,1.027,0.9349229654084803,8.965631411053517,2.2601522256060513
17.0,koma_water5,T1_4,0.7513,0.6788581621919336,9.642198563565334,1.1365346680615573
17.0,koma_water5,T1_5,0.527,0.4817857145157055,8.57956081295911,4.678305404656297
17.0,koma_water5,T1_6,0.3841,0.3303971408718442,13.981478554583655,1.1496002737164694
17.0,koma_water5,T1_7,0.2723,0.24545271389330148,9.859451379617521,2.312416355326243
17.0,koma_water5,T1_8,0.1945,0.16080276672791305,17.325055666882754,3.3709994800726326
17.0,koma_water5,T1_9,0.1378,0.11412174174051708,17.183061146214026,3.3709994800726366
17.0,koma_water5,T1_10,0.0947,0.08286509020586648,12.49726483013044,5.8816874901099485
17.0,koma_water5,T1_11,0.067,0.05428718044671442,18.974357542217287,7.689563614554724
17.0,koma_water5,T1_12,0.04814,0.03897053170844537,19.047503721550964,8.738703726314244
17.0,koma_water5,T1_13,0.03435,0.025824158621369966,24.820498918864725,8.738703726314233
17.0,koma_water5,T1_14,0.02416,0.012859135088694774,46.77510310970706,29.029988685693947
17.0,koma_water0,T1_1,1.879,1.814252529523045,3.445847284563867,0.0
17.0,koma_water0,T1_2,1.432,1.3789789502700562,3.7025872716441137,0.0
17.0,koma_water0,T1_3,1.027,0.956542276970287,6.86053778283475,0.0
17.0,koma_water0,T1_4,0.7513,0.6866623174826387,8.60344503092789,0.0
17.0,koma_water0,T1_5,0.527,0.4602536434395457,12.665342800845217,0.0
17.0,koma_water0,T1_6,0.3841,0.3266420628235515,14.95910887176477,0.0
17.0,koma_water0,T1_7,0.2723,0.23990510891743155,11.896764995434607,0.0
17.0,koma_water0,T1_8,0.1945,0.166412532327447,14.440857415194353,0.0
17.0,koma_water0,T1_9,0.1378,0.11810299302121237,14.293909273430797,0.0
17.0,koma_water0,T1_10,0.0947,0.07826196594534501,17.358008505443497,0.0
17.0,koma_water0,T1_11,0.067,0.05880936389471338,12.224830007890478,0.0
17.0,koma_water0,T1_12,0.04814,0.0427021457065169,11.295916687750529,0.0
17.0,koma_water0,T1_13,0.03435,0.028296944790182747,17.621703667590253,0.0
17.0,koma_water0,T1_14,0.02416,0.018119110946376086,25.00367985771488,0.0
17.0,cached,T1_1,1.879,1.814252529523045,3.445847284563867,0.0
17.0,cached,T1_2,1.432,1.3789789502700562,3.7025872716441137,0.0
17.0,cached,T1_3,1.027,0.9456708423778544,7.9191000605789235,1.136534668061553
17.0,cached,T1_4,0.7513,0.6866623174826387,8.60344503092789,0.0
17.0,cached,T1_5,0.527,0.4602536434395457,12.665342800845217,0.0
17.0,cached,T1_6,0.3841,0.3266420628235515,14.95910887176477,0.0
17.0,cached,T1_7,0.2723,0.23990510891743155,11.896764995434607,0.0
17.0,cached,T1_8,0.1945,0.166412532327447,14.440857415194353,0.0
17.0,cached,T1_9,0.1378,0.11810299302121237,14.293909273430797,0.0
17.0,cached,T1_10,0.0947,0.07826196594534501,17.358008505443497,0.0
17.0,cached,T1_11,0.067,0.05880936389471338,12.224830007890478,0.0
17.0,cached,T1_12,0.04814,0.0427021457065169,11.295916687750529,0.0
17.0,cached,T1_13,0.03435,0.028296944790182747,17.621703667590253,0.0
17.0,cached,T1_14,0.02416,0.018327408295410613,24.141521956081906,1.1496002737164495
5.0,koma_water5,T1_1,1.879,2.0809794307221874,10.749304455677882,13.39812647788661
5.0,koma_water5,T1_2,1.432,1.3948316960568534,2.5955519513370473,1.1496002737164783
5.0,koma_water5,T1_3,1.027,0.9456708423778544,7.9191000605789235,1.136534668061553
5.0,koma_water5,T1_4,0.7513,0.6866623174826387,8.60344503092789,0.0
5.0,koma_water5,T1_5,0.527,0.4873243244085049,7.528591193832086,4.678305404656296
5.0,koma_water5,T1_6,0.3841,0.010000000000000004,97.39651132517574,96.93854492787663
